Idade,Genero,Nivel Ensino,Area Formacao,Setor,Nivel,Faixa Salarial,Anos experiencia,Faixa Salarial – numero,Data ultimo aumento
38,Masculino,Pós-graduação,Química / Física,Marketing,Gestor,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,6000,02/01/21
39,Masculino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Consultoria,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,8000,06/04/21
30,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Indústria,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,12000,15/04/23
38,Feminino,Pós-graduação,Outras,Serviços,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,04/06/21
36,Masculino,Pós-graduação,Outras Engenharias,Varejo,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,12000,22/03/23
24,Masculino,Estudante de Graduação,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,4000,24/12/23
51,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,22/10/23
39,Masculino,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Setor Alimentício,Gestor,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,6000,03/07/22
32,Feminino,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Tecnologia/Fábrica de Software,Gestor,Acima de R$ 40.001/mês,Mais de 10 anos,45000,08/04/23
34,Feminino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Área da Saúde,Gestor,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,12000,27/05/21
33,Feminino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Educação,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,8000,14/03/21
30,Feminino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Finanças ou Bancos,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,12000,28/12/21
54,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Energia,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,16/09/22
49,Feminino,Graduação/Bacharelado,Ciências Sociais,Outro,Gestor,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,6000,19/04/21
29,Feminino,Pós-graduação,Outras Engenharias,Internet/Ecommerce,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,12000,31/01/22
22,Feminino,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outro,Gestor,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,3000,10/03/21
42,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outro,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,12000,07/03/21
35,Feminino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Internet/Ecommerce,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,25000,27/09/21
28,Feminino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Setor Público,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,23/10/22
31,Feminino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Internet/Ecommerce,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,28/08/21
36,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,30000,09/07/23
40,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Setor Alimentício,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,25000,21/08/23
38,Feminino,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Marketing,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,16000,02/03/21
36,Feminino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,12000,24/11/22
31,Feminino,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outro,Gestor,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 5 anos,30000,21/01/21
27,Feminino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Educação,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,20000,14/03/22
46,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 2 a 3 anos,25000,16/09/21
33,Feminino,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,Gestor,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,6000,03/04/21
29,Feminino,Mestrado,Estatística/ Matemática / Matemática Computacional,Educação,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,29/10/23
27,Feminino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Finanças ou Bancos,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,12000,08/07/21
41,Feminino,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,Gestor,de R$ 1.001/mês a R$ 2.000/mês,de 2 a 3 anos,2000,22/07/23
39,Feminino,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,Gestor,de R$ 30.001/mês a R$ 40.000/mês,de 1 a 2 anos,40000,23/06/22
29,Feminino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Setor Alimentício,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,8000,09/09/22
51,Feminino,Mestrado,Química / Física,Setor Público,Gestor,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,8000,02/01/22
32,Feminino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,30000,01/09/23
38,Feminino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,25/06/21
32,Feminino,Doutorado ou Phd,Ciências Biológicas/Farmácia/Medicina/Área da Saúde,Tecnologia/Fábrica de Software,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,8000,19/02/23
32,Feminino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Varejo,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,15/07/22
26,Feminino,Mestrado,Outras Engenharias,Educação,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,25000,22/07/22
46,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Setor Alimentício,Gestor,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,12000,06/09/21
